CAN init ok!\r\n
0x1,-0.00,-0.01,-0.01
2.04,0x1,-0.00,-0.04
2.15,0x1,-0.00,-0.01
2.25,0x1,-0.00,-0.01
2.35,0x1,-0.00,-0.01
2.45,0x1,-0.00,-0.01
2.55,0x1,-0.00,-0.01
2.66,0x1,-0.00,-0.01
2.76,0x1,-0.00,-0.03
2.86,0x1,-0.00,-0.03
2.96,0x1,-0.00,0.02
3.06,0x1,-0.00,-0.03
3.17,0x1,-0.00,-0.01
3.27,0x1,-0.00,0.01
3.37,0x1,-0.00,-0.01
3.47,0x1,-0.00,-0.01
3.57,0x1,-0.00,-0.03
3.68,0x1,-0.00,0.01
3.78,0x1,-0.00,-0.01
3.88,0x1,-0.00,0.01
3.98,0x1,-0.00,-0.02
4.09,0x1,-0.00,-0.01
4.19,0x1,-0.00,0.01
4.29,0x1,-0.00,0.01
4.39,0x1,-0.00,0.01
4.50,0x1,-0.00,0.01
4.60,0x1,-0.00,-0.01
4.70,0x1,-0.00,-0.01
4.80,0x1,-0.00,0.01
4.90,0x1,-0.00,-0.01
5.01,0x1,-0.00,-0.01
5.11,0x1,-0.00,-0.01
5.21,0x1,-0.00,0.01
5.31,0x1,-0.00,-0.03
5.41,0x1,-0.00,-0.01
5.52,0x1,-0.00,-0.02
5.62,0x1,-0.00,-0.03
5.72,0x1,-0.00,-0.01
5.82,0x1,-0.00,-0.02
5.92,0x1,-0.00,-0.01
6.03,0x1,0.07,0.64
6.13,0x1,0.26,1.03
6.23,0x1,0.51,1.23
6.33,0x1,0.75,0.88
6.44,0x1,0.89,0.40
6.54,0x1,0.91,-0.02
6.64,0x1,0.90,-0.10
6.74,0x1,0.90,-0.03
6.84,0x1,0.90,0.01
6.95,0x1,0.90,0.01
7.05,0x1,0.90,0.01
7.15,0x1,0.90,-0.03
7.25,0x1,0.90,-0.01
7.35,0x1,0.90,0.01
7.46,0x1,0.90,0.01
7.56,0x1,0.90,0.01
7.66,0x1,0.90,0.01
7.76,0x1,0.90,0.02
7.87,0x1,0.90,-0.01
7.97,0x1,0.90,-0.01
8.07,0x1,0.90,-0.02
8.17,0x1,0.90,-0.01
8.27,0x1,0.90,0.01
8.38,0x1,0.86,-0.39
8.48,0x1,0.72,-0.84
8.58,0x1,0.52,-1.00
8.68,0x1,0.30,-0.95
8.78,0x1,0.12,-0.67
8.89,0x1,0.04,-0.12
8.99,0x1,0.04,0.01
9.09,0x1,0.04,0.02
9.19,0x1,0.04,-0.01
9.30,0x1,0.04,-0.01
9.40,0x1,0.04,-0.02
9.50,0x1,0.04,-0.02
9.60,0x1,0.04,0.01
9.70,0x1,0.04,-0.01
9.81,0x1,0.04,0.02
9.91,0x1,0.04,0.01
10.01,0x1,0.04,-0.03
