CAN init ok!\r\n
0x1,0.36,0.02,-0.04
2.04,0x1,-0.00,-0.03
2.15,0x1,-0.00,0.02
2.25,0x1,-0.00,-0.02
2.35,0x1,-0.00,-0.01
2.45,0x1,-0.00,-0.01
2.55,0x1,-0.00,-0.02
2.66,0x1,-0.00,-0.03
2.76,0x1,-0.00,0.01
2.86,0x1,-0.00,-0.02
2.96,0x1,-0.00,-0.01
3.06,0x1,-0.00,-0.03
3.17,0x1,-0.00,0.01
3.27,0x1,-0.00,-0.01
3.37,0x1,-0.00,-0.04
3.47,0x1,-0.00,-0.01
3.57,0x1,-0.00,-0.02
3.68,0x1,-0.00,-0.01
3.78,0x1,-0.00,0.01
3.88,0x1,-0.00,0.03
3.98,0x1,-0.00,-0.02
4.09,0x1,-0.00,-0.03
4.19,0x1,-0.00,0.02
4.29,0x1,-0.00,-0.01
4.39,0x1,-0.00,0.01
4.49,0x1,-0.00,0.02
4.60,0x1,-0.00,-0.02
4.70,0x1,-0.00,-0.01
4.80,0x1,0.02,0.14
4.90,0x1,0.06,0.22
5.01,0x1,0.13,0.34
5.11,0x1,0.22,0.43
5.21,0x1,0.32,0.47
5.31,0x1,0.42,0.37
5.41,0x1,0.48,0.15
5.52,0x1,0.51,0.04
5.62,0x1,0.53,0.06
5.72,0x1,0.53,-0.03
5.82,0x1,0.53,0.01
5.92,0x1,0.53,-0.02
6.03,0x1,0.53,-0.02
6.13,0x1,0.53,0.02
6.23,0x1,0.53,0.01
6.33,0x1,0.53,-0.03
6.44,0x1,0.53,0.01
6.54,0x1,0.53,0.03
6.64,0x1,0.53,-0.03
6.74,0x1,0.53,0.02
6.84,0x1,0.53,-0.01
6.95,0x1,0.53,-0.01
7.05,0x1,0.50,-0.24
7.15,0x1,0.45,-0.28
7.25,0x1,0.37,-0.39
7.36,0x1,0.29,-0.46
7.46,0x1,0.19,-0.49
7.56,0x1,0.08,-0.53
7.66,0x1,-0.04,-0.58
7.76,0x1,-0.17,-0.60
7.87,0x1,-0.29,-0.53
7.97,0x1,-0.40,-0.47
8.07,0x1,-0.49,-0.37
8.17,0x1,-0.55,-0.28
8.27,0x1,-0.59,-0.14
8.38,0x1,-0.62,-0.12
8.48,0x1,-0.62,-0.04
8.58,0x1,-0.62,-0.04
8.68,0x1,-0.62,0.02
8.78,0x1,-0.62,-0.02
8.89,0x1,-0.62,-0.02
8.99,0x1,-0.62,0.01
9.09,0x1,-0.62,0.01
9.19,0x1,-0.62,-0.03
9.30,0x1,-0.62,-0.01
9.40,0x1,-0.62,0.03
9.50,0x1,-0.62,-0.01
9.60,0x1,-0.62,-0.01
9.70,0x1,-0.61,0.10
9.81,0x1,-0.61,-0.02
9.91,0x1,-0.61,0.14
10.01,0x1,-0.58,0.13
10.11,0x1,-0.54,0.15
10.22,0x1,-0.51,0.13
10.32,0x1,-0.49,0.10
10.42,0x1,-0.49,-0.01
10.52,0x1,-0.49,-0.02
10.62,0x1,-0.49,0.01
10.73,0x1,-0.49,0.01
10.83,0x1,-0.49,0.01
10.93,0x1,-0.49,-0.01
11.03,0x1,-0.49,-0.01
11.14,0x1,-0.49,0.02
11.24,0x1,-0.49,-0.04
11.34,0x1,-0.49,-0.02
11.44,0x1,-0.49,0.02
11.54,0x1,-0.49,0.01
11.65,0x1,-0.49,-0.01
11.75,0x1,-0.47,0.16
11.85,0x1,-0.42,0.25
11.95,0x1,-0.36,0.28
12.06,0x1,-0.29,0.36
12.16,0x1,-0.20,0.37
12.26,0x1,-0.12,0.38
12.36,0x1,-0.03,0.36
12.46,0x1,0.06,0.34
12.57,0x1,0.14,0.33
12.67,0x1,0.22,0.32
12.77,0x1,0.28,0.23
12.87,0x1,0.32,0.10
12.98,0x1,0.33,0.11
13.08,0x1,0.35,0.04
13.18,0x1,0.36,0.06
13.28,0x1,0.37,0.06
13.38,0x1,0.38,0.01
13.49,0x1,0.38,-0.02
13.59,0x1,0.38,0.01
13.69,0x1,0.38,0.01
13.79,0x1,0.38,-0.02
13.90,0x1,0.38,-0.03
14.00,0x1,0.38,0.02
14.10,0x1,0.38,0.01
14.20,0x1,0.38,0.01
14.30,0x1,0.38,-0.01
14.41,0x1,0.38,0.01
14.51,0x1,0.38,-0.01
14.61,0x1,0.38,0.02
14.71,0x1,0.38,-0.03
14.82,0x1,0.38,-0.01
14.92,0x1,0.38,-0.01
15.02,0x1,0.38,0.01
15.12,0x1,0.38,-0.01
15.22,0x1,0.39,0.17
15.33,0x1,0.45,0.27
15.43,0x1,0.53,0.43
15.53,0x1,0.64,0.59
15.63,0x1,0.78,0.68
15.73,0x1,0.95,0.85
15.84,0x1,1.15,0.97
15.94,0x1,1.37,1.01
16.04,0x1,1.59,0.87
16.14,0x1,1.75,0.47
16.25,0x1,1.79,-0.02
16.35,0x1,1.79,-0.01
16.45,0x1,1.79,0.03
16.55,0x1,1.79,-0.02
16.66,0x1,1.79,0.01
16.76,0x1,1.79,-0.02
16.86,0x1,1.79,-0.01
16.96,0x1,1.79,-0.02
17.06,0x1,1.79,0.01
17.17,0x1,1.79,-0.03
17.27,0x1,1.79,0.01
17.37,0x1,1.79,-0.02
17.47,0x1,1.79,-0.02
17.57,0x1,1.79,-0.03
17.68,0x1,1.79,-0.03
17.78,0x1,1.79,0.02
17.88,0x1,1.78,-0.14
17.98,0x1,1.72,-0.39
18.09,0x1,1.61,-0.56
18.19,0x1,1.48,-0.69
18.29,0x1,1.33,-0.74
18.39,0x1,1.17,-0.73
18.50,0x1,1.01,-0.75
18.60,0x1,0.84,-0.73
18.70,0x1,0.69,-0.65
18.80,0x1,0.56,-0.57
18.90,0x1,0.46,-0.27
19.01,0x1,0.43,-0.01
19.11,0x1,0.43,-0.01
19.21,0x1,0.43,-0.01
19.31,0x1,0.43,-0.01
19.41,0x1,0.43,0.01
19.52,0x1,0.43,-0.01
19.62,0x1,0.43,0.02
19.72,0x1,0.43,0.01
19.82,0x1,0.43,-0.01
19.93,0x1,0.43,-0.02
20.03,0x1,0.43,-0.01
20.13,0x1,0.43,-0.02
20.23,0x1,0.43,-0.01
20.33,0x1,0.43,0.02
20.44,0x1,0.43,-0.02
20.54,0x1,0.43,-0.03
20.64,0x1,0.41,-0.19
20.74,0x1,0.36,-0.29
20.85,0x1,0.29,-0.38
20.95,0x1,0.20,-0.40
21.05,0x1,0.11,-0.47
21.15,0x1,-0.01,-0.57
21.25,0x1,-0.13,-0.63
21.36,0x1,-0.28,-0.67
21.46,0x1,-0.42,-0.70
21.56,0x1,-0.58,-0.75
21.66,0x1,-0.75,-0.76
21.77,0x1,-0.92,-0.74
21.87,0x1,-1.08,-0.73
21.97,0x1,-1.22,-0.59
22.07,0x1,-1.33,-0.40
22.17,0x1,-1.41,-0.25
22.28,0x1,-1.43,0.03
22.38,0x1,-1.43,-0.01
22.48,0x1,-1.43,-0.02
22.58,0x1,-1.43,0.01
22.69,0x1,-1.43,-0.02
22.79,0x1,-1.43,0.01
22.89,0x1,-1.43,-0.02
22.99,0x1,-1.43,0.01
23.09,0x1,-1.43,-0.02
23.20,0x1,-1.43,-0.02
23.30,0x1,-1.43,-0.01
23.40,0x1,-1.43,-0.02
23.50,0x1,-1.43,-0.01
23.61,0x1,-1.43,-0.01
23.71,0x1,-1.43,0.03
23.81,0x1,-1.43,0.01
23.91,0x1,-1.43,-0.01
24.01,0x1,-1.43,0.02
24.12,0x1,-1.43,-0.01
24.22,0x1,-1.43,-0.02
24.32,0x1,-1.43,-0.01
24.42,0x1,-1.43,0.01
24.53,0x1,-1.43,-0.01
24.63,0x1,-1.43,0.01
24.73,0x1,-1.43,0.01
24.83,0x1,-1.43,-0.02
24.93,0x1,-1.43,-0.03
25.04,0x1,-1.43,0.01
25.14,0x1,-1.43,0.01
25.24,0x1,-1.43,0.03
25.34,0x1,-1.43,-0.01
25.45,0x1,-1.43,-0.01
25.55,0x1,-1.43,0.02
25.65,0x1,-1.43,-0.02
25.75,0x1,-1.43,-0.01
25.86,0x1,-1.43,0.01
25.96,0x1,-1.43,-0.01
26.06,0x1,-1.43,-0.01
26.16,0x1,-1.43,0.02
26.26,0x1,-1.40,0.23
26.37,0x1,-1.33,0.38
26.47,0x1,-1.24,0.50
26.57,0x1,-1.11,0.59
26.67,0x1,-0.96,0.67
26.77,0x1,-0.81,0.71
26.88,0x1,-0.65,0.66
26.98,0x1,-0.51,0.59
27.08,0x1,-0.40,0.41
27.18,0x1,-0.32,0.23
27.29,0x1,-0.30,-0.02
