CAN init ok!\r\n
0x1,-0.04,0.01,0.01
2.04,0x1,-0.00,-0.03
2.15,0x1,-0.00,0.01
2.25,0x1,-0.00,-0.01
2.35,0x1,-0.00,0.01
2.45,0x1,-0.00,-0.02
2.55,0x1,-0.00,-0.02
2.66,0x1,-0.00,-0.03
2.76,0x1,-0.00,-0.01
2.86,0x1,-0.00,-0.03
2.96,0x1,-0.00,-0.01
3.06,0x1,-0.00,-0.01
3.17,0x1,-0.00,-0.02
3.27,0x1,-0.00,-0.03
3.37,0x1,-0.00,0.01
3.47,0x1,-0.00,-0.01
3.57,0x1,0.01,0.23
3.68,0x1,0.12,0.52
3.78,0x1,0.24,0.67
3.88,0x1,0.39,0.73
3.98,0x1,0.56,0.76
4.09,0x1,0.74,0.85
4.19,0x1,0.92,0.77
4.29,0x1,1.06,0.46
4.39,0x1,1.17,0.62
4.49,0x1,1.34,0.98
4.60,0x1,1.58,1.03
4.70,0x1,1.74,0.40
4.80,0x1,1.80,0.38
4.90,0x1,1.94,0.73
5.00,0x1,1.95,-0.87
5.11,0x1,1.40,-4.22
5.21,0x1,0.24,-5.93
5.31,0x1,-0.99,-4.76
5.41,0x1,-1.67,-1.25
5.52,0x1,-1.51,2.39
5.62,0x1,-0.69,4.76
5.72,0x1,0.40,4.74
5.82,0x1,1.23,2.45
5.92,0x1,1.38,-0.88
6.03,0x1,0.89,-3.35
6.13,0x1,0.03,-4.18
6.23,0x1,-0.80,-3.03
6.33,0x1,-1.18,-0.33
6.43,0x1,-0.97,2.06
6.54,0x1,-0.36,3.30
6.64,0x1,0.36,2.95
6.74,0x1,0.84,1.20
6.84,0x1,0.85,-0.74
6.94,0x1,0.52,-2.14
7.05,0x1,-0.01,-2.49
7.15,0x1,-0.48,-1.67
7.25,0x1,-0.66,0.02
7.35,0x1,-0.53,1.12
7.46,0x1,-0.20,1.65
7.56,0x1,0.15,1.43
7.66,0x1,0.36,0.48
7.76,0x1,0.35,-0.31
7.86,0x1,0.23,-0.68
7.97,0x1,0.06,-0.76
8.07,0x1,-0.08,-0.48
8.17,0x1,-0.13,-0.06
8.27,0x1,-0.13,0.01
8.38,0x1,-0.13,-0.01
8.48,0x1,-0.13,-0.02
8.58,0x1,-0.13,-0.01
8.68,0x1,-0.13,-0.01
8.78,0x1,-0.13,-0.01
8.89,0x1,-0.13,-0.02
8.99,0x1,-0.13,-0.02
9.09,0x1,-0.13,-0.01
9.19,0x1,-0.14,-0.29
9.29,0x1,-0.20,-0.30
9.40,0x1,-0.27,-0.37
9.50,0x1,-0.34,-0.26
9.60,0x1,-0.40,-0.19
9.70,0x1,-0.43,-0.11
9.80,0x1,-0.43,0.02
9.91,0x1,-0.43,-0.02
10.01,0x1,-0.43,-0.01
10.11,0x1,-0.43,-0.02
10.21,0x1,-0.43,0.01
10.32,0x1,-0.43,0.01
10.42,0x1,-0.43,-0.02
10.52,0x1,-0.43,-0.01
10.62,0x1,-0.43,0.01
10.72,0x1,-0.43,-0.02
10.83,0x1,-0.44,-0.15
10.93,0x1,-0.49,-0.22
11.03,0x1,-0.54,-0.26
11.13,0x1,-0.58,-0.21
11.24,0x1,-0.62,-0.20
11.34,0x1,-0.65,-0.15
11.44,0x1,-0.66,0.01
11.54,0x1,-0.66,0.02
11.65,0x1,-0.66,-0.02
11.75,0x1,-0.66,-0.03
11.85,0x1,-0.66,0.01
11.95,0x1,-0.66,-0.01
12.05,0x1,-0.66,-0.03
12.16,0x1,-0.66,0.02
12.26,0x1,-0.66,0.01
12.36,0x1,-0.66,0.02
12.46,0x1,-0.66,-0.02
12.56,0x1,-0.66,0.02
12.67,0x1,-0.69,-0.36
12.77,0x1,-0.80,-0.60
12.87,0x1,-0.96,-0.78
12.97,0x1,-1.14,-0.82
13.08,0x1,-1.31,-0.75
13.18,0x1,-1.47,-0.61
13.28,0x1,-1.58,-0.43
13.38,0x1,-1.67,-0.35
13.49,0x1,-1.69,-0.06
13.59,0x1,-1.71,0.03
13.69,0x1,-1.50,2.40
13.79,0x1,-0.68,4.73
13.89,0x1,0.41,4.70
14.00,0x1,1.22,2.41
14.10,0x1,1.37,-0.82
14.20,0x1,0.90,-3.30
14.30,0x1,0.04,-4.13
14.40,0x1,-0.78,-3.03
14.51,0x1,-1.17,-0.38
14.61,0x1,-0.97,1.98
14.71,0x1,-0.37,3.30
14.81,0x1,0.34,2.96
14.92,0x1,0.82,1.26
15.02,0x1,0.85,-0.72
15.12,0x1,0.52,-2.12
15.22,0x1,-0.00,-2.45
15.33,0x1,-0.47,-1.65
15.43,0x1,-0.66,-0.01
15.53,0x1,-0.54,1.06
15.63,0x1,-0.23,1.61
15.73,0x1,0.12,1.43
15.84,0x1,0.34,0.53
15.94,0x1,0.34,-0.16
16.04,0x1,0.25,-0.65
16.14,0x1,0.09,-0.75
16.24,0x1,-0.06,-0.53
16.35,0x1,-0.13,0.02
16.45,0x1,-0.12,-0.01
16.55,0x1,-0.12,0.02
16.65,0x1,-0.12,0.01
16.76,0x1,-0.12,-0.03
16.86,0x1,-0.12,-0.01
16.96,0x1,-0.12,-0.01
17.06,0x1,-0.12,-0.02
17.17,0x1,-0.12,-0.01
17.27,0x1,-0.12,0.01
17.37,0x1,-0.12,0.01
17.47,0x1,-0.12,0.01
17.57,0x1,-0.12,-0.03
17.68,0x1,-0.12,0.01
17.78,0x1,-0.12,-0.02
17.88,0x1,-0.04,0.66
17.98,0x1,0.15,1.00
18.08,0x1,0.38,1.05
18.19,0x1,0.60,1.02
18.29,0x1,0.82,0.98
18.39,0x1,1.04,1.02
18.49,0x1,1.29,1.13
18.60,0x1,1.55,1.14
18.70,0x1,1.75,0.71
18.80,0x1,1.88,0.50
18.90,0x1,1.97,0.31
19.01,0x1,2.03,0.21
19.11,0x1,1.81,-2.96
19.21,0x1,0.79,-5.94
19.31,0x1,-0.57,-5.91
19.41,0x1,-1.58,-2.97
19.52,0x1,-1.76,1.18
19.62,0x1,-1.12,4.28
19.72,0x1,-0.00,5.42
19.82,0x1,1.04,3.74
19.93,0x1,1.50,0.26
20.03,0x1,1.21,-2.69
20.13,0x1,0.39,-4.38
20.23,0x1,-0.56,-3.93
20.33,0x1,-1.19,-1.57
20.44,0x1,-1.19,1.34
20.54,0x1,-0.67,3.24
20.64,0x1,0.12,3.54
20.74,0x1,0.77,2.17
20.84,0x1,0.98,-0.18
20.95,0x1,0.75,-1.90
21.05,0x1,0.21,-2.79
21.15,0x1,-0.37,-2.37
21.25,0x1,-0.73,-0.78
21.36,0x1,-0.69,0.94
21.46,0x1,-0.37,1.85
21.56,0x1,0.05,1.89
21.66,0x1,0.39,1.01
21.76,0x1,0.45,-0.20
21.87,0x1,0.34,-0.81
21.97,0x1,0.12,-1.08
22.07,0x1,-0.10,-0.86
22.17,0x1,-0.22,-0.19
22.28,0x1,-0.20,0.23
22.38,0x1,-0.13,0.31
22.48,0x1,-0.07,0.10
22.58,0x1,-0.06,-0.04
22.68,0x1,-0.06,-0.02
22.79,0x1,-0.06,0.02
22.89,0x1,-0.06,-0.01
22.99,0x1,-0.06,-0.04
23.09,0x1,-0.06,0.03
23.19,0x1,-0.01,0.59
23.30,0x1,0.16,0.91
23.40,0x1,0.39,1.11
23.50,0x1,0.62,0.87
23.60,0x1,0.64,-0.56
23.71,0x1,0.40,-1.51
23.81,0x1,0.02,-1.75
23.91,0x1,-0.31,-1.14
24.01,0x1,-0.44,0.03
24.11,0x1,-0.36,0.68
24.22,0x1,-0.17,0.94
24.32,0x1,0.03,0.76
24.42,0x1,0.14,0.15
24.52,0x1,0.14,-0.02
24.63,0x1,0.14,-0.04
24.73,0x1,0.14,-0.01
24.83,0x1,0.14,-0.03
24.93,0x1,0.14,0.02
25.03,0x1,0.14,-0.02
25.14,0x1,0.14,0.02
25.24,0x1,0.14,0.01
25.34,0x1,0.19,0.65
25.44,0x1,0.38,0.94
25.55,0x1,0.60,0.94
25.65,0x1,0.78,0.69
25.75,0x1,0.92,0.50
25.85,0x1,0.96,-0.11
25.95,0x1,0.73,-1.84
26.06,0x1,0.21,-2.77
26.16,0x1,-0.36,-2.28
26.26,0x1,-0.71,-0.73
26.36,0x1,-0.68,0.80
26.47,0x1,-0.39,1.73
26.57,0x1,0.02,1.82
26.67,0x1,0.35,1.04
26.77,0x1,0.44,-0.25
26.88,0x1,0.35,-0.67
26.98,0x1,0.16,-1.01
27.08,0x1,-0.05,-0.86
27.18,0x1,-0.18,-0.32
27.28,0x1,-0.20,0.01
