CAN init ok!\r\n
0x1,-0.01,-0.01,-0.04,\n
2.04,0x1,0.00,-0.02,-0.04
2.15,0x1,0.00,0.01,-0.01
2.25,0x1,0.00,-0.04,-0.04
2.35,0x1,0.00,0.02,-0.06
2.45,0x1,0.00,-0.02,-0.06
2.55,0x1,0.00,-0.03,-0.04
2.66,0x1,0.00,-0.02,-0.01
2.76,0x1,0.00,-0.01,-0.06
2.86,0x1,0.00,-0.01,-0.06
2.96,0x1,0.00,0.01,-0.04
3.06,0x1,0.00,-0.02,-0.04
3.17,0x1,0.00,-0.01,-0.06
3.27,0x1,0.00,-0.01,-0.01
3.37,0x1,0.00,0.01,-0.06
3.47,0x1,0.00,0.02,-0.09
3.57,0x1,0.01,0.05,-0.29
3.68,0x1,0.03,0.16,-0.80
3.78,0x1,0.07,0.22,-1.08
3.88,0x1,0.12,0.22,-1.31
3.98,0x1,0.17,0.19,-1.24
4.09,0x1,0.23,0.24,-1.52
4.19,0x1,0.29,0.27,-1.75
4.29,0x1,0.35,0.25,-1.82
4.39,0x1,0.42,0.30,-2.10
4.50,0x1,0.49,0.35,-2.43
4.60,0x1,0.57,0.37,-2.66
4.70,0x1,0.65,0.35,-2.77
4.80,0x1,0.73,0.32,-2.82
4.90,0x1,0.80,0.26,-2.66
5.01,0x1,0.86,0.23,-2.74
5.11,0x1,0.92,0.26,-2.79
5.21,0x1,0.98,0.27,-2.97
5.31,0x1,1.04,0.22,-2.94
5.41,0x1,1.09,0.22,-3.05
5.52,0x1,1.13,0.21,-3.15
5.62,0x1,1.18,0.19,-3.07
5.72,0x1,1.23,0.19,-3.20
5.82,0x1,1.27,0.22,-3.25
5.93,0x1,1.31,0.38,-3.17
6.03,0x1,1.35,0.25,-3.66
6.13,0x1,1.39,0.17,-3.30
6.23,0x1,1.43,0.14,-3.40
6.33,0x1,1.47,0.19,-3.63
6.44,0x1,1.51,0.15,-3.43
6.54,0x1,1.54,0.12,-3.51
6.64,0x1,1.58,0.12,-3.53
6.74,0x1,1.61,0.14,-3.68
6.85,0x1,1.65,0.24,-4.04
6.95,0x1,1.69,0.20,-4.07
